target,mae,rmse,r2
PM2.5 (µg/m³),13.19998273743635,19.809587965731392,-0.4304435607984427
PM10 (µg/m³),22.133051221308033,30.73683368868786,0.14205744511392748
NO (µg/m³),2.189686554636607,2.889680112868139,-3.6572741820804033
NO2 (µg/m³),10.9111121297628,12.924741160443,-2.6985077906115844
NOx (ppb),13.635453452785878,15.72788775353104,-2.547809664488167
NH3 (µg/m³),7.23620813651281,8.28768931150877,-2.3036387825637363
SO2 (µg/m³),1.7941175822478168,2.1367384663317432,-48.061570225616144
CO (mg/m³),0.18717082747745076,0.23022198342645328,-3.3097069323406556
Ozone (µg/m³),9.17119274175523,10.843358652928112,-3.2798477164178665
Benzene (µg/m³),0.5340935486535201,0.7959403927754429,-104.31303451139688
Toluene (µg/m³),0.5892193696469655,0.8233208157950873,-54.749340788540685
